TEHBInnTier1FamilyMOOP,State
$0 ,AZ
"$12,700 ",AZ
$0 ,AZ
"$4,500 ",AZ
"$2,000 ",AZ
"$12,700 ",AZ
"$12,700 ",AZ
"$10,400 ",AZ
"$4,500 ",AZ
"$2,000 ",AZ
"$12,700 ",AZ
"$12,700 ",AZ
"$12,700 ",AZ
"$12,700 ",AZ
$0 ,AZ
"$12,700 ",AZ
"$12,700 ",AZ
"$12,700 ",AZ
"$12,700 ",AZ
"$10,400 ",AZ
"$4,500 ",AZ
"$2,000 ",AZ
"$12,700 ",AZ
"$12,700 ",AZ
$0 ,AZ
"$12,700 ",AZ
"$10,400 ",AZ
"$12,700 ",AZ
"$12,700 ",AZ
$0 ,AZ
"$10,400 ",AZ
"$4,500 ",AZ
"$2,000 ",AZ
"$12,700 ",AZ
"$12,700 ",AZ
$0 ,AZ
"$12,700 ",AZ
"$10,400 ",AZ
"$4,500 ",AZ
"$2,000 ",AZ
"$12,700 ",AZ
"$12,700 ",AZ
"$12,700 ",AZ
$0 ,AZ
"$12,700 ",AZ
"$10,400 ",AZ
"$4,500 ",AZ
"$2,000 ",AZ
"$12,700 ",AZ
$0 ,AZ
"$12,700 ",AZ
"$10,400 ",AZ
"$4,500 ",AZ
"$2,000 ",AZ
"$12,700 ",AZ
"$12,700 ",AZ
"$2,000 ",AZ
"$12,700 ",AZ
"$12,700 ",AZ
$0 ,AZ
"$12,700 ",AZ
"$2,000 ",AZ
"$12,700 ",AZ
"$12,700 ",AZ
"$10,400 ",AZ
"$12,000 ",AZ
"$4,500 ",AZ
"$2,000 ",AZ
"$12,000 ",AZ
$0 ,AZ
"$12,000 ",AZ
"$10,000 ",AZ
"$10,000 ",AZ
$0 ,AZ
"$10,000 ",AZ
"$12,700 ",AZ
"$12,700 ",AZ
$0 ,AZ
"$12,700 ",AZ
"$10,400 ",AZ
"$4,500 ",AZ
$0 ,AZ
"$12,700 ",AZ
$0 ,AZ
"$12,700 ",AZ
"$10,400 ",AZ
"$4,500 ",AZ
"$2,000 ",AZ
"$10,400 ",AZ
"$4,500 ",AZ
"$2,000 ",AZ
"$12,700 ",AZ
"$12,700 ",AZ
$0 ,AZ
"$12,700 ",AZ
"$10,400 ",AZ
"$4,500 ",AZ
"$4,500 ",AZ
"$2,000 ",AZ
"$12,700 ",AZ
"$12,700 ",AZ
$0 ,AZ
"$12,700 ",AZ
"$10,400 ",AZ
"$4,500 ",AZ
$0 ,AZ
"$12,700 ",AZ
"$12,700 ",AZ
"$12,700 ",AZ
$0 ,AZ
"$12,700 ",AZ
,AZ
,AZ
,AZ
"$8,000 ",AZ
"$12,000 ",AZ
$0 ,AZ
"$4,000 ",AZ
"$12,000 ",AZ
"$12,000 ",AZ
"$8,000 ",AZ
"$8,000 ",AZ
"$12,700 ",AZ
"$10,400 ",AZ
"$12,700 ",AZ
"$12,700 ",AZ
$0 ,AZ
"$12,700 ",AZ
"$12,700 ",AZ
"$12,700 ",AZ
"$10,400 ",AZ
"$4,500 ",AZ
"$12,700 ",AZ
$0 ,AZ
"$12,000 ",AZ
"$12,000 ",AZ
$0 ,AZ
"$12,000 ",AZ
"$12,700 ",AZ
$0 ,AZ
"$12,700 ",AZ
"$12,700 ",AZ
"$12,700 ",AZ
"$12,700 ",AZ
"$12,700 ",AZ
"$12,700 ",AZ
"$12,700 ",AZ
$0 ,AZ
"$12,700 ",AZ
"$12,700 ",AZ
"$12,700 ",AZ
$0 ,AZ
"$12,700 ",AZ
"$12,700 ",AZ
"$12,700 ",AZ
$0 ,AZ
"$12,700 ",AZ
"$12,700 ",AZ
"$12,700 ",AZ
"$12,700 ",AZ
"$12,700 ",AZ
,AZ
"$6,000 ",AZ
"$6,000 ",AZ
"$6,000 ",AZ
"$6,000 ",AZ
$0 ,AZ
"$4,000 ",AZ
"$6,000 ",AZ
"$4,000 ",AZ
"$4,000 ",AZ
"$8,000 ",AZ
"$4,000 ",AZ
"$8,000 ",AZ
$0 ,AZ
"$12,000 ",AZ
"$4,000 ",AZ
"$12,000 ",AZ
"$8,000 ",AZ
"$12,000 ",AZ
"$12,000 ",AZ
"$8,000 ",AZ
"$10,000 ",AZ
$0 ,AZ
"$10,000 ",AZ
"$8,000 ",AZ
"$4,500 ",AZ
"$12,700 ",AZ
$0 ,AZ
"$12,000 ",AZ
"$12,000 ",AZ
"$12,700 ",AZ
"$12,000 ",AZ
$0 ,AZ
"$12,000 ",AZ
"$12,000 ",AZ
"$12,000 ",AZ
$0 ,AZ
"$12,000 ",AZ
"$12,700 ",AZ
"$12,700 ",AZ
"$6,000 ",AZ
"$6,000 ",AZ
"$6,000 ",AZ
"$6,000 ",AZ
"$4,000 ",AZ
$0 ,AZ
"$4,000 ",AZ
"$6,000 ",AZ
"$8,000 ",AZ
"$4,000 ",AZ
"$4,000 ",AZ
"$12,000 ",AZ
$0 ,AZ
"$10,000 ",AZ
"$8,000 ",AZ
"$10,000 ",AZ
"$12,000 ",AZ
"$12,000 ",AZ
$0 ,AZ
